"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.450650417×10^-1,5.904774182×10^-3,-2.133023924×10^0,-8.731916106×10^-1,2.304840454×10^0
5.550140417×10^-1,4.848814087×10^-2,-2.010617727×10^0,-8.479618983×10^-1,2.182653002×10^0
5.649640417×10^-1,1.140301887×10^-1,-1.877250339×10^0,-8.243907487×10^-1,2.053458504×10^0
5.749130417×10^-1,5.295837834×10^-2,-1.794934407×10^0,-8.442419728×10^-1,1.984272820×10^0
5.848630417×10^-1,1.015809823×10^-1,-1.659293037×10^0,-9.103880882×10^-1,1.895357104×10^0
5.948120417×10^-1,1.318772430×10^-1,-1.569289770×10^0,-8.589232349×10^-1,1.793825831×10^0
6.047620417×10^-1,8.491872920×10^-2,-1.477876740×10^0,-6.601927471×10^-1,1.620859436×10^0
6.147110417×10^-1,1.502015169×10^-2,-1.367065571×10^0,-3.881580190×10^-1,1.421182792×10^0
6.246610417×10^-1,2.412834353×10^-2,-1.281710840×10^0,5.894589063×10^-2,1.283292435×10^0
6.346100417×10^-1,-2.962283046×10^-2,-1.139805349×10^0,3.588705583×10^-1,1.195333352×10^0
6.445600417×10^-1,-1.223806613×10^-1,-9.523196411×10^-1,3.702913399×10^-1,1.029079881×10^0
6.545090417×10^-1,-1.723477046×10^-1,-7.455691123×10^-1,3.191246947×10^-1,8.291065090×10^-1
6.644590417×10^-1,-1.654934523×10^-1,-5.109858370×10^-1,1.548494732×10^-1,5.589928154×10^-1
6.744080417×10^-1,-1.684874459×10^-1,-2.621704388×10^-1,-8.918641090×10^-2,3.241536276×10^-1
6.843580417×10^-1,-1.390851514×10^-1,-1.967646539×10^-2,-3.022179457×10^-1,3.332679543×10^-1
6.943070417×10^-1,-1.163981557×10^-1,2.390189731×10^-1,-4.778484233×10^-1,5.468251236×10^-1
7.042570417×10^-1,-5.285752301×10^-2,4.247908616×10^-1,-3.756801704×10^-1,5.695408539×10^-1
7.142060417×10^-1,5.045577918×10^-2,6.804831702×10^-1,-3.494869832×10^-1,7.666448212×10^-1
7.241560417×10^-1,5.224448813×10^-2,9.111318541×10^-1,-3.917809904×10^-1,9.931682065×10^-1
7.341050417×10^-1,6.191300539×10^-2,1.076092333×10^0,-2.972876465×10^-1,1.118118005×10^0
7.440550417×10^-1,8.654944455×10^-2,1.213256317×10^0,-2.098273337×10^-1,1.234305152×10^0
