"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.455363917×10^0,6.461725127×10^-1,-2.956280313×10^0,-4.395702839×10^-2,3.026394625×10^0
2.465313917×10^0,-5.059074936×10^-1,-3.377196225×10^0,9.971559446×10^-1,3.557487416×10^0
2.475262917×10^0,-2.923859257×10^-1,-3.101396511×10^0,3.766858184×10^-1,3.137840349×10^0
2.485212917×10^0,-3.100937066×10^-1,-3.265936575×10^0,7.608642590×10^-1,3.367701626×10^0
2.495161917×10^0,-3.266475761×10^-1,-3.174546348×10^0,4.613793019×10^-1,3.224486629×10^0
2.505111917×10^0,-2.080199959×10^-1,-3.140265877×10^0,4.067885271×10^-1,3.173329325×10^0
2.515060917×10^0,-2.940217208×10^-1,-3.116074777×10^0,2.303792004×10^-1,3.138382603×10^0
2.525010917×10^0,-7.742089938×10^-2,-3.016710117×10^0,1.683131258×10^-1,3.022393627×10^0
2.534959917×10^0,1.040766562×10^-1,-2.970037642×10^0,2.663710785×10^-1,2.983774304×10^0
2.544909917×10^0,2.491137524×10^-1,-2.871824300×10^0,1.817654494×10^-1,2.888333628×10^0
2.554858917×10^0,4.427812824×10^-1,-2.743660349×10^0,1.229458952×10^-1,2.781877616×10^0
2.564808917×10^0,5.913443775×10^-1,-2.596543819×10^0,4.605968714×10^-2,2.663428142×10^0
2.574757917×10^0,7.074308675×10^-1,-2.435881628×10^0,-4.726874515×10^-2,2.536969072×10^0
2.584707917×10^0,8.244663240×10^-1,-2.317595964×10^0,-9.687199116×10^-2,2.461783897×10^0
2.594656917×10^0,7.989911748×10^-1,-2.195329515×10^0,-7.262936197×10^-2,2.337334722×10^0
2.604606917×10^0,7.453235292×10^-1,-2.123043897×10^0,6.209275246×10^-2,2.250928266×10^0
2.614555917×10^0,5.898065963×10^-1,-2.047470388×10^0,2.115415911×10^-1,2.141204488×10^0
2.624504917×10^0,3.943817222×10^-1,-1.933497630×10^0,2.497965610×10^-1,1.989057151×10^0
2.634454917×10^0,1.739340908×10^-1,-1.831677725×10^0,3.040202768×10^-1,1.864865863×10^0
2.644403917×10^0,-2.389983617×10^-2,-1.717220818×10^0,3.795228875×10^-1,1.758822379×10^0
2.654353917×10^0,-2.420644223×10^-1,-1.584532292×10^0,4.516482925×10^-1,1.665329982×10^0
2.664302917×10^0,-3.720406441×10^-1,-1.443817293×10^0,4.616563869×10^-1,1.560816849×10^0
2.674252917×10^0,-4.670969652×10^-1,-1.290434301×10^0,5.474831338×10^-1,1.477544599×10^0
2.684201917×10^0,-5.418142948×10^-1,-1.096334224×10^0,5.388011149×10^-1,1.336345053×10^0
2.694151917×10^0,-5.445588682×10^-1,-9.156722170×10^-1,5.846679170×10^-1,1.215251638×10^0
2.704100917×10^0,-4.943912197×10^-1,-7.578453416×10^-1,6.201884365×10^-1,1.096989488×10^0
2.714050917×10^0,-4.240259727×10^-1,-5.564806831×10^-1,5.951119213×10^-1,9.184916848×10^-1
2.723999917×10^0,-2.148861985×10^-1,-3.253770858×10^-1,5.247769336×10^-1,6.537867820×10^-1
2.733949917×10^0,-9.713723548×10^-3,-3.848461926×10^-2,3.935094273×10^-1,3.955061210×10^-1
2.743898917×10^0,2.515244498×10^-1,2.141004789×10^-1,3.131126241×10^-1,4.551297389×10^-1
2.753848917×10^0,4.779451217×10^-1,4.895131069×10^-1,2.430675852×10^-1,7.260416463×10^-1
2.763797917×10^0,6.024143627×10^-1,6.778741425×10^-1,2.093618953×10^-1,9.307248899×10^-1
2.773747917×10^0,6.095429226×10^-1,8.323891550×10^-1,2.114587069×10^-1,1.053151967×10^0
2.783696917×10^0,4.987772892×10^-1,9.896716547×10^-1,1.342811613×10^-1,1.116360246×10^0
2.793645917×10^0,3.945256003×10^-1,1.152314297×10^0,8.768703863×10^-2,1.221133779×10^0
2.803595917×10^0,1.925664627×10^-1,1.298369558×10^0,5.240976334×10^-2,1.313617956×10^0
2.813544917×10^0,4.973630670×10^-2,1.400850783×10^0,1.296773560×10^-1,1.407719018×10^0
2.823494917×10^0,-1.328455967×10^-1,1.536231367×10^0,7.129868187×10^-2,1.543612085×10^0
2.833443917×10^0,-3.314736487×10^-1,1.692826819×10^0,-1.344508767×10^-2,1.725027011×10^0
2.843393917×10^0,-4.493697057×10^-1,1.825567385×10^0,-7.750367403×10^-2,1.881657841×10^0
2.853342917×10^0,-4.962269530×10^-1,1.999484628×10^0,-1.953390297×10^-1,2.069380899×10^0
2.863292917×10^0,-4.515089826×10^-1,2.149499039×10^0,-2.609646698×10^-1,2.211856469×10^0
2.873241917×10^0,-3.475240364×10^-1,2.315246553×10^0,-3.920078623×10^-1,2.373775415×10^0
2.883191917×10^0,-1.828504734×10^-1,2.469238824×10^0,-4.652921125×10^-1,2.519339480×10^0
2.893140917×10^0,6.474833854×10^-2,2.601508105×10^0,-5.502605613×10^-1,2.659854028×10^0
2.903090917×10^0,2.841131022×10^-1,2.739508241×10^0,-5.937625301×10^-1,2.817477525×10^0
2.913039917×10^0,4.322910486×10^-1,2.882347534×10^0,-6.313788378×10^-1,2.982187468×10^0
2.922989917×10^0,5.457424908×10^-1,3.009295263×10^0,-6.768876442×10^-1,3.132390418×10^0
2.932938917×10^0,5.219919048×10^-1,3.082201272×10^0,-6.241271941×10^-1,3.187785279×10^0
2.942888917×10^0,3.499172652×10^-1,3.100255135×10^0,-5.704660535×10^-1,3.171664470×10^0
2.952837917×10^0,1.991389707×10^-1,3.125347876×10^0,-4.439041670×10^-1,3.162990134×10^0
2.962786917×10^0,3.123482103×10^-2,3.116839008×10^0,-3.258594080×10^-1,3.133982350×10^0
2.972736917×10^0,-2.018037661×10^-1,3.106315189×10^0,-2.569792807×10^-1,3.123452763×10^0
2.982685917×10^0,-3.913615988×10^-1,3.137220647×10^0,-2.044992777×10^-1,3.168144133×10^0
2.992635917×10^0,-5.434119003×10^-1,3.122219616×10^0,-1.392864510×10^-1,3.172215714×10^0
3.002584917×10^0,-5.973874383×10^-1,3.093655382×10^0,-6.080409922×10^-2,3.151392155×10^0
3.012534917×10^0,-5.429230365×10^-1,3.052932449×10^0,8.216514744×10^-2,3.101920868×10^0
3.022483917×10^0,-4.551059339×10^-1,3.016417757×10^0,1.419750738×10^-1,3.053858938×10^0
3.032433917×10^0,-3.479966741×10^-1,2.998265076×10^0,1.688031956×10^-1,3.023109272×10^0
3.042382917×10^0,-1.933099727×10^-1,3.004786475×10^0,1.390771937×10^-1,3.014208515×10^0
3.052332917×10^0,-8.353366085×10^-2,3.008053315×10^0,3.184861422×10^-2,3.009381490×10^0
3.062281917×10^0,5.220781513×10^-2,2.995599330×10^0,-1.034243079×10^-1,2.997838820×10^0
3.072231917×10^0,1.495884410×10^-1,2.945192823×10^0,-2.023534957×10^-1,2.955923612×10^0
3.082180917×10^0,1.216584571×10^-1,2.792583418×10^0,-9.186560512×10^-2,2.796741357×10^0
3.092130917×10^0,1.309671513×10^-1,2.663479820×10^0,-9.272397637×10^-2,2.668309368×10^0
3.102079917×10^0,6.119970904×10^-2,2.548443453×10^0,-1.364634883×10^-1,2.552828181×10^0
3.112028917×10^0,-5.786678698×10^-2,2.416761818×10^0,-1.654083753×10^-1,2.423106721×10^0
3.121978917×10^0,-1.596038808×10^-1,2.281509288×10^0,-2.551198661×10^-1,2.301270122×10^0
3.131927917×10^0,-2.643180663×10^-1,2.123913962×10^0,-3.065777028×10^-1,2.162143484×10^0
3.141877917×10^0,-3.152588811×10^-1,1.968758095×10^0,-3.491197050×10^-1,2.024174194×10^0
3.151826917×10^0,-3.323429469×10^-1,1.801391487×10^0,-3.224997441×10^-1,1.859964841×10^0
3.161776917×10^0,-3.158677955×10^-1,1.654911718×10^0,-3.449062745×10^-1,1.719728350×10^0
3.171725917×10^0,-2.734460084×10^-1,1.524908819×10^0,-4.265485346×10^-1,1.606879982×10^0
3.181675917×10^0,-2.405184550×10^-1,1.337863991×10^0,-4.483574065×10^-1,1.431346761×10^0
3.191624917×10^0,-1.959001614×10^-1,1.160661197×10^0,-4.520317968×10^-1,1.260890175×10^0
3.201574917×10^0,-1.366088373×10^-1,9.831525940×10^-1,-4.451274776×10^-1,1.087837060×10^0
3.211523917×10^0,-7.165133750×10^-2,8.089587772×10^-1,-4.186734315×10^-1,9.136934166×10^-1
3.221473917×10^0,-4.588344384×10^-3,6.277570724×10^-1,-3.849736619×10^-1,7.364134133×10^-1
3.231422917×10^0,2.400146123×10^-2,4.581808019×10^-1,-3.045872375×10^-1,5.507078196×10^-1
3.241372917×10^0,3.358067370×10^-3,2.656524557×10^-1,-2.985388776×10^-1,3.996347899×10^-1
3.251321917×10^0,-5.000357928×10^-2,5.131984234×10^-2,-2.655395313×10^-1,2.750369554×10^-1
3.261270917×10^0,-1.211425682×10^-1,-1.483900541×10^-1,-1.806976017×10^-1,2.633377171×10^-1
3.271220917×10^0,-1.618480970×10^-1,-3.585939485×10^-1,-1.404816949×10^-1,4.177553507×10^-1
3.281169833×10^0,-1.740967347×10^-1,-5.481226730×10^-1,-5.566432357×10^-2,5.777946475×10^-1
3.291119833×10^0,-1.955348383×10^-1,-7.305762666×10^-1,-2.589380980×10^-2,7.567337998×10^-1
3.301068833×10^0,-2.092232067×10^-1,-9.216346228×10^-1,4.205200553×10^-2,9.460196083×10^-1
3.311018833×10^0,-2.346654835×10^-1,-1.114546546×10^0,8.367950320×10^-2,1.142052605×10^0
3.320967833×10^0,-2.296419761×10^-1,-1.298370143×10^0,1.317376956×10^-1,1.325086897×10^0
3.330917833×10^0,-2.052471731×10^-1,-1.472463387×10^0,1.941181310×10^-1,1.499318738×10^0
3.340866833×10^0,-2.059712046×10^-1,-1.651020981×10^0,2.182647928×10^-1,1.678074473×10^0
3.350816833×10^0,-1.871912087×10^-1,-1.783616536×10^0,2.249037945×10^-1,1.807459602×10^0
3.360765833×10^0,-1.761706142×10^-1,-1.933409922×10^0,2.385359200×10^-1,1.956018762×10^0
3.370715833×10^0,-1.455015296×10^-1,-2.079205567×10^0,2.112634099×10^-1,2.094969859×10^0
3.380664833×10^0,-1.290962433×10^-1,-2.223242369×10^0,2.390844619×10^-1,2.239784331×10^0
3.390614833×10^0,-1.168756083×10^-1,-2.359851453×10^0,2.067424158×10^-1,2.371771746×10^0
3.400563833×10^0,-1.052857233×10^-1,-2.456000728×10^0,1.916202736×10^-1,2.465713485×10^0
3.410513833×10^0,-9.092588447×10^-2,-2.568252650×10^0,2.005769654×10^-1,2.577677310×10^0
3.420462833×10^0,-8.196966771×10^-2,-2.683127049×10^0,2.122971976×10^-1,2.692760645×10^0
3.430411833×10^0,-7.195703724×10^-2,-2.777263713×10^0,1.807726653×10^-1,2.784070815×10^0
3.440361833×10^0,-6.257902610×10^-2,-2.860887083×10^0,1.488538114×10^-1,2.865440366×10^0
3.450310833×10^0,-3.708396900×10^-2,-2.932205572×10^0,1.194235325×10^-1,2.934870818×10^0
3.460260833×10^0,-2.873788178×10^-2,-2.999908143×10^0,1.169337881×10^-1,3.002323807×10^0
3.470209833×10^0,-4.960145529×10^-2,-3.018981176×10^0,9.163646735×10^-2,3.020778854×10^0
3.480159833×10^0,-4.254122562×10^-2,-3.058895440×10^0,7.823340654×10^-2,3.060191421×10^0
3.490108833×10^0,-3.350973966×10^-2,-3.101696473×10^0,7.810820304×10^-2,3.102860746×10^0
3.500058833×10^0,-3.346353752×10^-2,-3.121209801×10^0,5.250565767×10^-2,3.121830757×10^0
3.510007833×10^0,-1.848264668×10^-2,-3.127615426×10^0,5.021581493×10^-2,3.128073127×10^0
3.519957833×10^0,-2.063820446×10^-3,-3.118828815×10^0,5.075156607×10^-2,3.119242402×10^0
3.529906833×10^0,-1.235213343×10^-2,-3.085889695×10^0,9.963655472×10^-3,3.085930502×10^0
3.539856833×10^0,-8.287231335×10^-3,-3.046615117×10^0,-1.544944011×10^-2,3.046665560×10^0
3.549805833×10^0,-7.978324760×10^-3,-3.016424773×10^0,3.513080254×10^-3,3.016437370×10^0
3.559755833×10^0,-1.088664760×10^-2,-2.980345699×10^0,-1.361589946×10^-2,2.980396684×10^0
3.569704833×10^0,-5.124207437×10^-3,-2.907078917×10^0,1.671843208×10^-2,2.907131506×10^0
3.579653833×10^0,2.523402460×10^-3,-2.839431894×10^0,1.892407492×10^-2,2.839496077×10^0
3.589603833×10^0,5.335511193×10^-3,-2.750300447×10^0,2.968280554×10^-2,2.750465795×10^0
3.599552833×10^0,4.864152521×10^-3,-2.636819440×10^0,3.820811905×10^-2,2.637100734×10^0
3.609502833×10^0,-9.213987608×10^-3,-2.548835801×10^0,5.516394809×10^-2,2.549449333×10^0
3.619451833×10^0,-1.002950974×10^-2,-2.446206642×10^0,7.768033303×10^-2,2.447460267×10^0
3.629401833×10^0,-1.935282201×10^-3,-2.319049582×10^0,7.847789325×10^-2,2.320377876×10^0
3.639350833×10^0,2.774467282×10^-3,-2.192495370×10^0,9.777714014×10^-2,2.194676289×10^0
3.649300833×10^0,2.075045273×10^-2,-2.046894438×10^0,1.301403093×10^-1,2.051132351×10^0
3.659249833×10^0,2.166322136×10^-2,-1.886283703×10^0,1.277500407×10^-1,1.890728848×10^0
3.669199833×10^0,3.719415704×10^-2,-1.741611308×10^0,1.470867828×10^-1,1.748207046×10^0
3.679148833×10^0,4.902111914×10^-2,-1.596546566×10^0,1.854397666×10^-1,1.608027336×10^0
3.689098833×10^0,6.804591235×10^-2,-1.424279991×10^0,1.765052211×10^-1,1.436787331×10^0
3.699047833×10^0,7.675733177×10^-2,-1.248011582×10^0,1.825758004×10^-1,1.263629107×10^0
3.708997833×10^0,7.441089895×10^-2,-1.069694309×10^0,1.556365816×10^-1,1.083515409×10^0
3.718946833×10^0,7.696348267×10^-2,-8.725741446×10^-1,1.479227885×10^-1,8.883637582×10^-1
3.728895833×10^0,8.856251299×10^-2,-6.922465986×10^-1,1.362108155×10^-1,7.110570007×10^-1
3.738845833×10^0,9.290739622×10^-2,-5.102941114×10^-1,1.255606969×10^-1,5.336640825×10^-1
3.748794833×10^0,7.996394483×10^-2,-3.240468442×10^-1,8.787890039×10^-2,3.451424211×10^-1
3.758744833×10^0,1.042667455×10^-1,-1.287264526×10^-1,5.527256012×10^-2,1.746342169×10^-1
3.768693833×10^0,1.050180396×10^-1,6.383873105×10^-2,1.133767806×10^-2,1.234208863×10^-1
3.778643833×10^0,1.219698487×10^-1,2.780345196×10^-1,-1.846316814×10^-2,3.041721990×10^-1
3.788592833×10^0,1.133878903×10^-1,4.611447555×10^-1,-7.834676944×10^-2,4.812998187×10^-1
3.798542833×10^0,1.062166458×10^-1,6.417161304×10^-1,-1.511703321×10^-1,6.677829266×10^-1
3.808491833×10^0,1.167754747×10^-1,8.296152359×10^-1,-1.935521936×10^-1,8.598606880×10^-1
3.818441833×10^0,1.141902014×10^-1,1.026890936×10^0,-2.432090148×10^-1,1.061458912×10^0
3.828390833×10^0,1.058585038×10^-1,1.202110940×10^0,-3.014344188×10^-1,1.243840602×10^0
3.838340833×10^0,1.113928569×10^-1,1.392493942×10^0,-3.369492372×10^-1,1.437004710×10^0
3.848289833×10^0,1.017983434×10^-1,1.566579001×10^0,-3.749971426×10^-1,1.614049419×10^0
3.858239833×10^0,1.102493242×10^-1,1.729006466×10^0,-4.030813193×10^-1,1.778789707×10^0
3.868188833×10^0,9.534630641×10^-2,1.882280699×10^0,-4.276465686×10^-1,1.932602684×10^0
3.878137833×10^0,8.237199269×10^-2,2.027458293×10^0,-4.243616760×10^-1,2.073030416×10^0
3.888087833×10^0,8.443269767×10^-2,2.174567807×10^0,-4.503069413×10^-1,2.222307442×10^0
3.898036833×10^0,7.051943075×10^-2,2.324065908×10^0,-4.511396579×10^-1,2.368497905×10^0
3.907986833×10^0,8.413697474×10^-2,2.456225846×10^0,-4.126239753×10^-1,2.492064000×10^0
3.917935833×10^0,9.223207936×10^-2,2.563431036×10^0,-3.849011564×10^-1,2.593806919×10^0
3.927885833×10^0,9.594184533×10^-2,2.663540631×10^0,-3.479385674×10^-1,2.687882954×10^0
3.937834833×10^0,9.644320752×10^-2,2.759568869×10^0,-2.989505216×10^-1,2.777389611×10^0
3.947784833×10^0,1.056992037×10^-1,2.838529669×10^0,-2.747676802×10^-1,2.853755470×10^0
3.957733833×10^0,1.277618082×10^-1,2.932345321×10^0,-2.302947812×10^-1,2.944148068×10^0
3.967683833×10^0,1.253382835×10^-1,3.005119182×10^0,-2.077725490×10^-1,3.014899735×10^0
3.977632833×10^0,1.410540277×10^-1,3.060323914×10^0,-1.667813746×10^-1,3.068109308×10^0
3.987582833×10^0,1.449908849×10^-1,3.096197752×10^0,-1.242263623×10^-1,3.102079152×10^0
3.997531833×10^0,1.689571966×10^-1,3.139104620×10^0,-9.648242041×10^-2,3.145128488×10^0
4.007480833×10^0,1.860032190×10^-1,3.145058255×10^0,-8.453078471×10^-2,3.151687497×10^0
4.017430833×10^0,1.758018011×10^-1,3.168388061×10^0,-9.104706801×10^-2,3.174567490×10^0
4.027379833×10^0,1.820313881×10^-1,3.185294700×10^0,-9.835133672×10^-2,3.192007321×10^0
4.037329833×10^0,1.785517101×10^-1,3.170318812×10^0,-1.275243381×10^-1,3.177902537×10^0
4.047278833×10^0,1.744946926×10^-1,3.137501314×10^0,-1.449523298×10^-1,3.145691350×10^0
4.057228833×10^0,1.789240681×10^-1,3.108398552×10^0,-1.870804954×10^-1,3.119159260×10^0
4.067177833×10^0,1.872633670×10^-1,3.054374372×10^0,-2.078638387×10^-1,3.067161188×10^0
4.077127833×10^0,1.777625187×10^-1,3.013436261×10^0,-2.447164270×10^-1,3.028577842×10^0
4.087076833×10^0,1.736857303×10^-1,2.961750968×10^0,-2.811575174×10^-1,2.980131722×10^0
4.097026833×10^0,1.501663286×10^-1,2.875472962×10^0,-3.134831914×10^-1,2.896405772×10^0
4.106975833×10^0,1.387008523×10^-1,2.783166477×10^0,-3.465912958×10^-1,2.808091717×10^0
4.116925833×10^0,1.283628289×10^-1,2.682066364×10^0,-3.757572075×10^-1,2.711300514×10^0
4.126874833×10^0,1.092853376×10^-1,2.568867193×10^0,-3.935924578×10^-1,2.601141473×10^0
4.136823833×10^0,1.039398496×10^-1,2.458222085×10^0,-3.940801156×10^-1,2.491778170×10^0
4.146773833×10^0,1.063277794×10^-1,2.338427255×10^0,-3.717145888×10^-1,2.370172854×10^0
4.156722833×10^0,9.692077886×10^-2,2.191829372×10^0,-3.494413749×10^-1,2.221625285×10^0
4.166672833×10^0,7.561524265×10^-2,2.039666110×10^0,-3.391759300×10^-1,2.069056745×10^0
4.176621833×10^0,5.601069801×10^-2,1.888534296×10^0,-3.081413213×10^-1,1.914327574×10^0
4.186571833×10^0,5.160982769×10^-2,1.723330573×10^0,-2.727327760×10^-1,1.745541465×10^0
4.196520833×10^0,6.525956791×10^-2,1.563985761×10^0,-2.319601413×10^-1,1.582439818×10^0
4.206470833×10^0,5.400992699×10^-2,1.408133490×10^0,-1.876850244×10^-1,1.421612699×10^0
4.216419833×10^0,5.580995578×10^-2,1.216583383×10^0,-1.274576799×10^-1,1.224514328×10^0
4.226369833×10^0,7.634537715×10^-2,1.022307304×10^0,-6.016909160×10^-2,1.026918283×10^0
4.236318833×10^0,7.507017251×10^-2,8.441911751×10^-1,-9.635041952×10^-3,8.475771970×10^-1
4.246268833×10^0,7.120443206×10^-2,6.532363147×10^-1,4.514518261×10^-2,6.586545691×10^-1
4.256217833×10^0,7.913343921×10^-2,4.707195711×10^-1,7.783462644×10^-2,4.836292432×10^-1
4.266166833×10^0,7.334005449×10^-2,2.706149876×10^-1,1.283311808×10^-1,3.083506560×10^-1
4.276116833×10^0,9.114957701×10^-2,8.063485801×10^-2,1.726320255×10^-1,2.112156290×10^-1
4.286066042×10^0,9.131825091×10^-2,-1.150843138×10^-1,2.020891285×10^-1,2.498468292×10^-1
4.296016042×10^0,9.878625993×10^-2,-3.093434358×10^-1,2.277068766×10^-1,3.966138022×10^-1
4.305965042×10^0,9.606165843×10^-2,-4.919408709×10^-1,2.411929679×10^-1,5.562442902×10^-1
4.315915042×10^0,8.901601939×10^-2,-6.811479986×10^-1,2.511987233×10^-1,7.314282236×10^-1
4.325864042×10^0,9.537747938×10^-2,-8.582584065×10^-1,2.762013444×10^-1,9.066374902×10^-1
4.335814042×10^0,8.816216145×10^-2,-1.035560603×10^0,2.647233331×10^-1,1.072490920×10^0
4.345763042×10^0,8.518813966×10^-2,-1.229231495×10^0,2.656741635×10^-1,1.260495874×10^0
4.355713042×10^0,8.324414145×10^-2,-1.392127907×10^0,2.619950223×10^-1,1.419010602×10^0
4.365662042×10^0,6.601667270×10^-2,-1.562618682×10^0,2.309579285×10^-1,1.580973406×10^0
4.375612042×10^0,7.064885521×10^-2,-1.716159548×10^0,2.433225969×10^-1,1.734762445×10^0
4.385561042×10^0,4.630283995×10^-2,-1.863245088×10^0,2.249786389×10^-1,1.877349621×10^0
4.395510042×10^0,4.091671379×10^-2,-2.012441474×10^0,2.201652110×10^-1,2.024862361×10^0
4.405460042×10^0,4.337957930×10^-2,-2.162267604×10^0,2.267831627×10^-1,2.174560549×10^0
4.415409042×10^0,3.405067563×10^-2,-2.295818594×10^0,2.027031592×10^-1,2.305001309×10^0
4.425359042×10^0,9.177734870×10^-3,-2.407894515×10^0,1.891048014×10^-1,2.415326242×10^0
4.435308042×10^0,-1.236766510×10^-2,-2.522309908×10^0,1.779611778×10^-1,2.528610371×10^0
4.445258042×10^0,-1.878216117×10^-2,-2.618298385×10^0,1.636613734×10^-1,2.623475604×10^0
4.455207042×10^0,-3.260889843×10^-2,-2.704996220×10^0,1.691951783×10^-1,2.710478722×10^0
4.465157042×10^0,-3.853524336×10^-2,-2.809045084×10^0,1.741161219×10^-1,2.814699926×10^0
4.475106042×10^0,-5.229866624×10^-2,-2.891088536×10^0,1.836938611×10^-1,2.897390466×10^0
4.485056042×10^0,-6.594838819×10^-2,-2.947672627×10^0,1.916063134×10^-1,2.954629602×10^0
4.495005042×10^0,-7.381040817×10^-2,-3.006195070×10^0,1.751849929×10^-1,3.012199621×10^0
4.504955042×10^0,-8.150142451×10^-2,-3.030114275×10^0,1.883329690×10^-1,3.037055203×10^0
4.514904042×10^0,-7.450063543×10^-2,-3.053258139×10^0,1.949732132×10^-1,3.060383989×10^0
4.524853042×10^0,-8.949932830×10^-2,-3.088488783×10^0,1.942736670×10^-1,3.095886844×10^0
4.534803042×10^0,-9.972164998×10^-2,-3.107499250×10^0,2.052618277×10^-1,3.115867201×10^0
4.544752042×10^0,-1.186505854×10^-1,-3.095908315×10^0,2.116785622×10^-1,3.105404010×10^0
4.554702042×10^0,-1.086768069×10^-1,-3.081677361×10^0,2.306072418×10^-1,3.092204021×10^0
4.564651042×10^0,-1.197125128×10^-1,-3.050716354×10^0,2.298832834×10^-1,3.061706662×10^0
4.574601042×10^0,-1.055610633×10^-1,-3.019928425×10^0,2.445059272×10^-1,3.031648723×10^0
4.584550042×10^0,-9.959845645×10^-2,-2.970869116×10^0,2.703647268×10^-1,2.984808242×10^0
4.594500042×10^0,-1.047184064×10^-1,-2.922375233×10^0,2.809155158×10^-1,2.937712797×10^0
4.604449042×10^0,-9.866717773×10^-2,-2.853488016×10^0,2.846132219×10^-1,2.869343785×10^0
4.614399042×10^0,-1.088212057×10^-1,-2.763133916×10^0,2.984010295×10^-1,2.781329586×10^0
4.624348042×10^0,-1.156327460×10^-1,-2.661488843×10^0,2.919713581×10^-1,2.679951691×10^0
4.634298042×10^0,-1.087909464×10^-1,-2.550635574×10^0,2.966492037×10^-1,2.570131914×10^0
4.644247042×10^0,-1.023272880×10^-1,-2.450157605×10^0,3.005245920×10^-1,2.470639228×10^0
4.654196042×10^0,-1.013178211×10^-1,-2.336708173×10^0,2.950774721×10^-1,2.357443764×10^0
4.664146042×10^0,-1.024906903×10^-1,-2.199203880×10^0,2.985343460×10^-1,2.221739140×10^0
4.674095042×10^0,-8.467024080×10^-2,-2.063980002×10^0,2.975870240×10^-1,2.087041096×10^0
4.684045042×10^0,-9.059882412×10^-2,-1.909038143×10^0,2.733222485×10^-1,1.930631976×10^0
4.693994042×10^0,-9.805057970×10^-2,-1.754437761×10^0,2.492353014×10^-1,1.774763085×10^0
4.703944042×10^0,-1.003174447×10^-1,-1.616061648×10^0,2.219907848×10^-1,1.634319047×10^0
4.713893042×10^0,-9.473075906×10^-2,-1.447357197×10^0,1.932247496×10^-1,1.463267774×10^0
4.723843042×10^0,-9.335729378×10^-2,-1.271377641×10^0,1.633430656×10^-1,1.285222801×10^0
4.733792042×10^0,-1.244904555×10^-1,-1.093692452×10^0,1.198071098×10^-1,1.107255524×10^0
4.743742042×10^0,-1.205533790×10^-1,-9.050226831×10^-1,8.161192775×10^-2,9.166567956×10^-1
4.753691042×10^0,-1.010945488×10^-1,-7.196033818×10^-1,3.415709496×10^-2,7.274722276×10^-1
4.763641042×10^0,-1.196147273×10^-1,-5.310090423×10^-1,-3.117735386×10^-3,5.443234390×10^-1
4.773590042×10^0,-1.202441618×10^-1,-3.506382269×10^-1,-4.950369716×10^-2,3.739738502×10^-1
4.783539042×10^0,-1.407640698×10^-1,-1.616217184×10^-1,-9.826238595×10^-2,2.357787092×10^-1
4.793489042×10^0,-1.462586892×10^-1,3.708596528×10^-2,-1.432765909×10^-1,2.080748771×10^-1
4.803438042×10^0,-1.578386430×10^-1,2.432190281×10^-1,-1.963179266×10^-1,3.501560526×10^-1
4.813388042×10^0,-1.675715892×10^-1,4.314590263×10^-1,-2.332629740×10^-1,5.183133647×10^-1
4.823337042×10^0,-1.702645244×10^-1,6.088384062×10^-1,-2.684795845×10^-1,6.868445970×10^-1
4.833287042×10^0,-1.680061653×10^-1,8.015415841×10^-1,-2.955428374×10^-1,8.706552426×10^-1
4.843236042×10^0,-1.775441800×10^-1,9.710997283×10^-1,-2.942202703×10^-1,1.030107851×10^0
4.853186042×10^0,-1.760793246×10^-1,1.155529096×10^0,-3.075027323×10^-1,1.208639463×10^0
4.863135042×10^0,-1.799209818×10^-1,1.338819426×10^0,-3.290860478×10^-1,1.390362055×10^0
4.873085042×10^0,-1.754647456×10^-1,1.505717672×10^0,-3.187926093×10^-1,1.549064980×10^0
4.883034042×10^0,-1.735467858×10^-1,1.673304720×10^0,-3.229780463×10^-1,1.713003792×10^0
4.892984042×10^0,-1.724819713×10^-1,1.823195170×10^0,-3.170664382×10^-1,1.858580583×10^0
4.902933042×10^0,-1.623211550×10^-1,1.969638686×10^0,-2.811106666×10^-1,1.996208385×10^0
4.912882042×10^0,-1.416643674×10^-1,2.110858299×10^0,-2.504513761×10^-1,2.130379648×10^0
4.922832042×10^0,-1.360074786×10^-1,2.258556628×10^0,-2.177199054×10^-1,2.273098773×10^0
4.932781042×10^0,-1.210489123×10^-1,2.398841856×10^0,-2.041882058×10^-1,2.410557594×10^0
4.942731042×10^0,-1.135818717×10^-1,2.505834208×10^0,-1.822121036×10^-1,2.515016336×10^0
4.952680042×10^0,-9.601648869×10^-2,2.600063258×10^0,-1.683518636×10^-1,2.607276445×10^0
4.962630042×10^0,-6.875768295×10^-2,2.707590630×10^0,-1.493811572×10^-1,2.712579836×10^0
4.972579042×10^0,-5.025155604×10^-2,2.803877315×10^0,-1.452435943×10^-1,2.808086344×10^0
4.982529042×10^0,-5.610496609×10^-2,2.873969643×10^0,-1.398969734×10^-1,2.877919464×10^0
4.992478042×10^0,-4.046181869×10^-2,2.968755348×10^0,-1.333574474×10^-1,2.972024509×10^0
5.002428042×10^0,-1.868106829×10^-2,3.026117703×10^0,-1.547207614×10^-1,3.030128025×10^0
5.012377042×10^0,-1.152093345×10^-2,3.072691945×10^0,-1.754188085×10^-1,3.077716731×10^0
