"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-6.762499834×10^-5,1.077175895×10^-1,4.421974379×10^-1,2.210762072×10^-1,5.059805752×10^-1
9.882375001×10^-3,-8.723716848×10^-3,4.536421931×10^-1,2.795004165×10^-1,5.329050811×10^-1
1.983137500×10^-2,-1.313056594×10^-1,4.165217292×10^-1,2.257633352×10^-1,4.916305632×10^-1
2.978137500×10^-2,-2.417894935×10^-1,3.332930464×10^-1,8.234399915×10^-2,4.199130245×10^-1
3.973137500×10^-2,-2.618878721×10^-1,2.299218750×10^-1,-1.361429147×10^-1,3.741446503×10^-1
4.968037500×10^-2,-2.154560097×10^-1,1.102802414×10^-1,-3.579815988×10^-1,4.321271211×10^-1
5.963037500×10^-2,-2.154939069×10^-1,-1.419645488×10^-2,-4.994494267×10^-1,5.441405086×10^-1
6.957937501×10^-2,-2.519858316×10^-1,-1.217904854×10^-1,-4.848252480×10^-1,5.598082732×10^-1
7.952937501×10^-2,-2.252373416×10^-1,-2.028714859×10^-1,-3.315463369×10^-1,4.492345416×10^-1
8.947837500×10^-2,-1.205948394×10^-1,-2.520442307×10^-1,-1.263280709×10^-1,3.066401654×10^-1
9.942837500×10^-2,9.999542758×10^-3,-2.744267875×10^-1,3.295344561×10^-3,2.746286799×10^-1
1.093773750×10^-1,1.314894813×10^-1,-2.980290735×10^-1,1.300640032×10^-2,3.260061023×10^-1
1.193273750×10^-1,2.158869860×10^-1,-2.859744537×10^-1,-6.492178157×10^-2,3.641475204×10^-1
1.292763750×10^-1,2.118438922×10^-1,-2.955878609×10^-1,-1.398023947×10^-1,3.896084287×10^-1
1.392263750×10^-1,1.737290728×10^-1,-2.465893632×10^-1,-1.495086265×10^-1,3.366614533×10^-1
1.491753750×10^-1,1.016334520×10^-1,-2.030755538×10^-1,-7.279900432×10^-2,2.384716632×10^-1
1.591253750×10^-1,4.279895078×10^-2,-1.648335940×10^-1,7.787774965×10^-2,1.872613355×10^-1
1.690743750×10^-1,3.396607373×10^-2,-1.001025778×10^-1,2.177560119×10^-1,2.420576398×10^-1
1.790243750×10^-1,1.510675672×10^-2,-5.600697041×10^-2,3.008883619×10^-1,3.064291128×10^-1
1.889733750×10^-1,-1.037314329×10^-2,-2.115698040×10^-2,2.742437696×10^-1,2.752541827×10^-1
1.989233750×10^-1,-5.681037784×10^-2,2.512840927×10^-2,1.337986198×10^-1,1.475158522×10^-1
2.088723750×10^-1,-7.723236322×10^-2,8.232996583×10^-2,-1.035410330×10^-2,1.133590255×10^-1
2.188223750×10^-1,-5.116445258×10^-2,1.684126747×10^-1,-1.230523145×10^-1,2.147615010×10^-1
2.287713750×10^-1,3.367119133×10^-2,2.202499956×10^-1,-1.192409532×10^-1,2.527097438×10^-1
2.387213750×10^-1,1.169606487×10^-1,2.365426773×10^-1,-4.224964142×10^-2,2.672400863×10^-1
2.486703750×10^-1,1.676015928×10^-1,2.023814893×10^-1,1.139995091×10^-1,2.864340224×10^-1
2.586203750×10^-1,1.733924924×10^-1,1.511744982×10^-1,2.077248211×10^-1,3.099488452×10^-1
2.685693750×10^-1,1.513091303×10^-1,8.236972690×10^-2,1.847125192×10^-1,2.525825401×10^-1
