"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.785193750×10^-1,1.391232040×10^-1,-8.225862980×10^-3,9.960878044×10^-2,1.713033562×10^-1
2.884683750×10^-1,1.130845660×10^-1,-8.467294514×10^-2,3.462618783×10^-2,1.454530838×10^-1
2.984183750×10^-1,9.972744238×10^-2,-1.587758785×10^-1,-6.760082960×10^-2,1.993118525×10^-1
3.083673750×10^-1,2.576995846×10^-2,-1.872646827×10^-1,-1.172027600×10^-1,2.224154650×10^-1
3.183173750×10^-1,-7.806566454×10^-2,-1.564171118×10^-1,-1.095383759×10^-1,2.062988527×10^-1
3.282663750×10^-1,-1.513131503×10^-1,-1.069028896×10^-1,-5.996319652×10^-2,1.947292536×10^-1
3.382163750×10^-1,-2.131469807×10^-1,-7.504316568×10^-3,-3.140773416×10^-2,2.155792103×10^-1
3.481663750×10^-1,-2.304644235×10^-1,9.272748470×10^-2,-4.647367001×10^-3,2.484629448×10^-1
3.581153750×10^-1,-1.491963486×10^-1,1.800930727×10^-1,-2.005375698×10^-2,2.347237066×10^-1
3.680653750×10^-1,1.788663268×10^-3,2.799401271×10^-1,-8.059217334×10^-2,2.913155892×10^-1
3.780143750×10^-1,1.403526177×10^-1,3.487928456×10^-1,-1.734481506×10^-1,4.140526143×10^-1
3.879643750×10^-1,2.092553298×10^-1,3.276130611×10^-1,-2.186088283×10^-1,4.459909536×10^-1
3.979133750×10^-1,1.793946227×10^-1,2.779526585×10^-1,-2.097046883×10^-1,3.916837594×10^-1
4.078633750×10^-1,1.332228518×10^-1,2.078346026×10^-1,-1.270716906×10^-1,2.776522372×10^-1
4.178123750×10^-1,6.764877677×10^-2,1.569918931×10^-1,-1.054940030×10^-2,1.712720098×10^-1
4.277623750×10^-1,2.293639775×10^-2,1.057480645×10^-1,4.984999850×10^-2,1.191375417×10^-1
4.377113750×10^-1,2.743440494×10^-3,1.284411085×10^-1,7.057501584×10^-2,1.465792539×10^-1
4.476613750×10^-1,1.571285717×10^-2,1.916775763×10^-1,3.663996890×10^-2,1.957796579×10^-1
4.576103750×10^-1,6.611764681×10^-2,2.779959279×10^-1,-4.040279835×10^-3,2.857789408×10^-1
4.675603750×10^-1,1.061826954×10^-1,3.785534191×10^-1,-9.194161892×10^-3,3.932708844×10^-1
4.775093750×10^-1,1.572227850×10^-1,4.705845004×10^-1,2.307793692×10^-2,4.966904140×10^-1
4.874593750×10^-1,2.179444750×10^-1,6.506717259×10^-1,-3.480949804×10^-2,6.870845582×10^-1
4.974083750×10^-1,1.753480206×10^-1,9.978413844×10^-1,-1.456596968×10^-1,1.023548291×10^0
5.073583750×10^-1,1.481340192×10^-1,1.538068562×10^0,-3.963043964×10^-1,1.595197719×10^0
5.173073750×10^-1,-2.119093079×10^-2,2.118619308×10^0,-3.625776565×10^-1,2.149525386×10^0
5.272573750×10^-1,-2.073756693×10^-1,2.404828236×10^0,6.870794141×10^-1,2.509637749×10^0
5.372063750×10^-1,-2.000932180×10^-1,2.264093356×10^0,8.060128038×10^-1,2.411599606×10^0
5.471563750×10^-1,-2.202169223×10^-1,2.197743831×10^0,5.482185674×10^-1,2.275767351×10^0
5.571053750×10^-1,-2.190828183×10^-1,2.154341703×10^0,3.176885819×10^-1,2.188632333×10^0
5.670553750×10^-1,-2.122922274×10^-1,2.091238552×10^0,5.449955821×10^-2,2.102692767×10^0
5.770043750×10^-1,-2.067229738×10^-1,2.017717416×10^0,-1.657381582×10^-1,2.035039827×10^0
5.869543750×10^-1,-1.642616266×10^-1,1.914024648×10^0,-3.564019735×10^-1,1.953840987×10^0
5.969033750×10^-1,-4.882012110×10^-2,1.777392760×10^0,-3.379386592×10^-1,1.809892528×10^0
6.068533750×10^-1,5.884265073×10^-2,1.671199722×10^0,-4.046029110×10^-1,1.720486700×10^0
6.168033750×10^-1,1.194203531×10^-1,1.569762225×10^0,-6.903772438×10^-1,1.719021641×10^0
6.267523750×10^-1,1.660907819×10^-1,1.461013370×10^0,-9.547392190×10^-1,1.753189434×10^0
6.367023750×10^-1,1.777194685×10^-1,1.318331367×10^0,-1.145174993×10^0,1.755279912×10^0
6.466513750×10^-1,1.621166852×10^-1,1.139886040×10^0,-1.239166646×10^0,1.691495190×10^0
6.566013750×10^-1,1.453869607×10^-1,9.115259564×10^-1,-1.192979343×10^0,1.508382130×10^0
6.665503750×10^-1,1.390563265×10^-1,7.090672839×10^-1,-1.043705775×10^0,1.269423026×10^0
6.765001250×10^-1,1.513628151×10^-1,4.790781659×10^-1,-6.400046504×10^-1,8.136538228×10^-1
6.864491250×10^-1,1.826631432×10^-1,2.727714407×10^-1,-2.065468995×10^-1,3.878552623×10^-1
6.963991250×10^-1,1.515271218×10^-1,6.446789145×10^-2,8.473682597×10^-2,1.851942422×10^-1
7.063481250×10^-1,9.512254078×10^-2,-1.738961935×10^-1,2.751818092×10^-1,3.391359786×10^-1
7.162981250×10^-1,2.798846517×10^-2,-4.009739828×10^-1,3.666883953×10^-1,5.440807553×10^-1
7.262471250×10^-1,-3.743241280×10^-2,-6.128647989×10^-1,4.517244525×10^-1,7.622725420×10^-1
7.361971250×10^-1,-8.613511451×10^-2,-8.119987446×10^-1,5.268869014×10^-1,9.717875416×10^-1
7.461461250×10^-1,-1.201415340×10^-1,-9.669797802×10^-1,4.757562165×10^-1,1.084355966×10^0
7.560961250×10^-1,-1.046647216×10^-1,-1.138583280×10^0,5.824622011×10^-1,1.283194765×10^0
7.660451250×10^-1,-8.284452081×10^-2,-1.320373800×10^0,7.829142554×10^-1,1.537271907×10^0
7.759951250×10^-1,-5.698038563×10^-2,-1.506014711×10^0,8.829016431×10^-1,1.746666077×10^0
7.859441250×10^-1,-4.182995752×10^-2,-1.667187363×10^0,8.529266229×10^-1,1.873165041×10^0
7.958941250×10^-1,-4.179121971×10^-2,-1.795021530×10^0,7.008753347×10^-1,1.927452992×10^0
8.058431250×10^-1,-3.303742625×10^-2,-1.877577783×10^0,4.747553194×10^-1,1.936951837×10^0
8.157931250×10^-1,-1.663635179×10^-2,-1.977829465×10^0,2.947686660×10^-1,1.999743666×10^0
8.257421250×10^-1,1.376990050×10^-2,-2.049440315×10^0,-2.382301837×10^-3,2.049487958×10^0
8.356921250×10^-1,7.514878102×10^-2,-2.127583675×10^0,-2.652544065×10^-1,2.145371654×10^0
8.456411250×10^-1,1.306506616×10^-1,-2.209390900×10^0,-3.272464406×10^-1,2.237312668×10^0
8.555911250×10^-1,1.765481251×10^-1,-2.275375559×10^0,-2.846775413×10^-1,2.299900971×10^0
8.655411250×10^-1,2.099579459×10^-1,-2.299402937×10^0,-2.035753445×10^-1,2.317925609×10^0
8.754901250×10^-1,2.112644697×10^-1,-2.342546618×10^0,-1.466926074×10^-1,2.356623868×10^0
8.854401250×10^-1,2.005529553×10^-1,-2.370210965×10^0,-1.607643704×10^-1,2.384107105×10^0
8.953891250×10^-1,2.067670837×10^-1,-2.409641663×10^0,-1.036126614×10^-1,2.420715009×10^0
9.053391250×10^-1,2.177135831×10^-1,-2.443561946×10^0,-8.180956364×10^-2,2.454605262×10^0
9.152881250×10^-1,2.104446900×10^-1,-2.448315732×10^0,-1.697749297×10^-1,2.463201255×10^0
9.252381250×10^-1,2.092555491×10^-1,-2.403007413×10^0,-2.227251220×10^-1,2.422362275×10^0
9.351871250×10^-1,1.924625285×10^-1,-2.374743726×10^0,-1.422686040×10^-1,2.386773962×10^0
9.451371250×10^-1,1.619781427×10^-1,-2.352394499×10^0,6.204831362×10^-2,2.358780784×10^0
9.550861250×10^-1,1.140511107×10^-1,-2.323805707×10^0,3.635974109×10^-1,2.354842606×10^0
9.650361250×10^-1,6.144089755×10^-2,-2.279732904×10^0,5.585296936×10^-1,2.347959224×10^0
9.749851250×10^-1,1.532401733×10^-2,-2.203364174×10^0,7.250994721×10^-1,2.319658974×10^0
9.849351250×10^-1,-9.756371677×10^-3,-2.100073110×10^0,9.224402229×10^-1,2.293751996×10^0
9.948841250×10^-1,-3.093403660×10^-2,-1.973531177×10^0,9.379423611×10^-1,2.185295883×10^0
1.004834125×10^0,-5.290849429×10^-2,-1.834413638×10^0,8.182932723×10^-1,2.009347302×10^0
1.014783125×10^0,-6.300451610×10^-2,-1.699801378×10^0,6.376388669×10^-1,1.816556527×10^0
1.024733125×10^0,-9.476845533×10^-2,-1.546204963×10^0,4.779878063×10^-1,1.621173399×10^0
1.034682125×10^0,-1.160734068×10^-1,-1.383907891×10^0,4.621254797×10^-1,1.463637266×10^0
1.044632125×10^0,-1.293492541×10^-1,-1.185069230×10^0,4.204802942×10^-1,1.264090181×10^0
1.054581125×10^0,-1.203769210×10^-1,-9.905370426×10^-1,3.094241273×10^-1,1.044699730×10^0
1.064531125×10^0,-9.358662341×10^-2,-7.893822992×10^-1,2.399334776×10^-1,8.303318277×10^-1
1.074480125×10^0,-3.639197387×10^-2,-6.008037472×10^-1,1.363184774×10^-1,6.171484794×10^-1
1.084430125×10^0,1.035242222×10^-2,-3.952694392×10^-1,-1.196607833×10^-1,4.131147604×10^-1
1.094380125×10^0,5.753426313×10^-2,-1.771460760×10^-1,-4.576652236×10^-1,4.941137324×10^-1
1.104329125×10^0,9.345794812×10^-2,7.348663688×10^-2,-8.617567956×10^-1,8.699192196×10^-1
1.114279125×10^0,1.121244532×10^-1,3.135990393×10^-1,-1.064901931×10^0,1.115765376×10^0
1.124228125×10^0,1.285400360×10^-1,5.073547161×10^-1,-1.079742018×10^0,1.199905903×10^0
1.134178125×10^0,1.400717320×10^-1,6.800691873×10^-1,-1.052888096×10^0,1.261224616×10^0
1.144127125×10^0,1.692704977×10^-1,8.266542059×10^-1,-8.982621324×10^-1,1.232430337×10^0
1.154077125×10^0,1.676797627×10^-1,9.780789649×10^-1,-6.131833260×10^-1,1.166511361×10^0
1.164026125×10^0,1.647430718×10^-1,1.140545021×10^0,-3.696761763×10^-1,1.210224649×10^0
1.173976125×10^0,1.266533223×10^-1,1.298599353×10^0,-2.334644106×10^-1,1.325483676×10^0
1.183925125×10^0,6.709120821×10^-2,1.448178731×10^0,-2.389011517×10^-1,1.469284393×10^0
1.193875125×10^0,7.020057477×10^-3,1.561795394×10^0,-1.656446028×10^-1,1.570570682×10^0
1.203824125×10^0,-5.445321903×10^-2,1.661395696×10^0,2.333272934×10^-2,1.662451571×10^0
1.213774125×10^0,-1.117767997×10^-1,1.764112564×10^0,1.822249675×10^-1,1.777018044×10^0
1.223723125×10^0,-1.757270664×10^-1,1.898599693×10^0,3.848918009×10^-1,1.945174155×10^0
1.233673125×10^0,-2.150898643×10^-1,2.012671269×10^0,5.731719987×10^-1,2.103719427×10^0
1.243622125×10^0,-2.594924140×10^-1,2.095406447×10^0,6.628380275×10^-1,2.213011239×10^0
1.253572125×10^0,-3.069445059×10^-1,2.190920130×10^0,6.036444707×10^-1,2.293192664×10^0
1.263521125×10^0,-3.087851728×10^-1,2.254464161×10^0,2.273691268×10^-1,2.286843602×10^0
1.273471125×10^0,-2.863282102×10^-1,2.346591722×10^0,-2.121343526×10^-1,2.373494794×10^0
1.283420125×10^0,-2.484565619×10^-1,2.451954455×10^0,-5.501352847×10^-1,2.525165369×10^0
1.293370125×10^0,-1.907697961×10^-1,2.530010106×10^0,-8.481105638×10^-1,2.675188924×10^0
1.303319125×10^0,-1.157690958×10^-1,2.588154234×10^0,-1.036419121×10^0,2.790360087×10^0
1.313269125×10^0,-4.745238427×10^-2,2.605668983×10^0,-1.106226689×10^0,2.831165850×10^0
1.323219125×10^0,-4.213649780×10^-3,2.579904982×10^0,-1.059447649×10^0,2.788970561×10^0
1.333168125×10^0,3.887978140×10^-2,2.558421727×10^0,-9.900771591×10^-1,2.743590011×10^0
1.343118125×10^0,7.852123573×10^-2,2.542119105×10^0,-1.082328827×10^0,2.764049713×10^0
1.353067125×10^0,1.242236215×10^-1,2.502824062×10^0,-1.149776459×10^0,2.757090078×10^0
1.363017125×10^0,1.742848872×10^-1,2.418385005×10^0,-1.057361216×10^0,2.645179388×10^0
1.372966125×10^0,1.896402236×10^-1,2.306701432×10^0,-8.760659556×10^-1,2.474737657×10^0
1.382916125×10^0,1.830275709×10^-1,2.148409118×10^0,-5.782182920×10^-1,2.232374795×10^0
1.392865125×10^0,1.533484199×10^-1,2.008031504×10^0,-2.303300107×10^-1,2.027007196×10^0
1.402815125×10^0,9.066528138×10^-2,1.847595016×10^0,2.126458378×10^-1,1.862000480×10^0
1.412764125×10^0,5.050861426×10^-3,1.706889957×10^0,5.913524540×10^-1,1.806431998×10^0
1.422714125×10^0,-7.168668117×10^-2,1.558050252×10^0,6.987764767×10^-1,1.709078153×10^0
1.432663125×10^0,-1.199581507×10^-1,1.391608089×10^0,6.562131321×10^-1,1.543236439×10^0
1.442613125×10^0,-1.342532774×10^-1,1.222522400×10^0,6.063900308×10^-1,1.371238065×10^0
1.452562125×10^0,-1.520350622×10^-1,1.051877843×10^0,4.846439843×10^-1,1.168093082×10^0
1.462512125×10^0,-1.503090737×10^-1,8.896263796×10^-1,3.562018526×10^-1,9.700039550×10^-1
1.472461125×10^0,-1.825000059×10^-1,7.496650869×10^-1,2.233342557×10^-1,8.032323352×10^-1
1.482411125×10^0,-1.972546140×10^-1,5.868768489×10^-1,1.893913150×10^-1,6.474587931×10^-1
1.492360125×10^0,-2.315558429×10^-1,3.923288745×10^-1,2.139646773×10^-1,5.033099813×10^-1
1.502310125×10^0,-2.105987642×10^-1,1.967570525×10^-1,9.753725812×10^-2,3.042674710×10^-1
1.512259125×10^0,-1.546212126×10^-1,3.639423966×10^-2,-9.243614718×10^-2,1.837843882×10^-1
1.522209125×10^0,-7.778320748×10^-2,-1.062129182×10^-1,-2.982021511×10^-1,3.259692229×10^-1
1.532158125×10^0,9.258371629×10^-3,-2.411894596×10^-1,-4.716713516×10^-1,5.298414261×10^-1
1.542108125×10^0,8.923629496×10^-2,-3.964377129×10^-1,-5.752619398×10^-1,7.043097869×10^-1
1.552058125×10^0,1.558467159×10^-1,-5.755081075×10^-1,-6.003397706×10^-1,8.461120617×10^-1
1.562007125×10^0,1.795175239×10^-1,-7.701747805×10^-1,-5.073360050×10^-1,9.395666851×10^-1
1.571957125×10^0,1.902290383×10^-1,-9.792250192×10^-1,-2.496834174×10^-1,1.028304689×10^0
1.581906125×10^0,1.885619971×10^-1,-1.177690043×10^0,2.376176879×10^-2,1.192926690×10^0
1.591856125×10^0,2.177861616×10^-1,-1.340643173×10^0,2.295384438×10^-1,1.377476979×10^0
1.601805125×10^0,2.480503997×10^-1,-1.491090862×10^0,3.698434067×10^-1,1.556170012×10^0
1.611755125×10^0,2.677164863×10^-1,-1.656631969×10^0,4.716514711×10^-1,1.743145636×10^0
1.621704125×10^0,2.783378439×10^-1,-1.821539823×10^0,5.708895381×10^-1,1.929091534×10^0
1.631654125×10^0,2.594153769×10^-1,-1.964801869×10^0,6.353774562×10^-1,2.081212924×10^0
1.641603125×10^0,2.373329285×10^-1,-2.084728262×10^0,6.634085695×10^-1,2.200574874×10^0
1.651553125×10^0,2.050073642×10^-1,-2.177283838×10^0,7.444170646×10^-1,2.310140623×10^0
1.661502125×10^0,1.352250481×10^-1,-2.270325319×10^0,9.169192819×10^-1,2.452224263×10^0
1.671452125×10^0,7.178473167×10^-2,-2.361179940×10^0,1.076246699×10^0,2.595887269×10^0
1.681401333×10^0,2.225516059×10^-2,-2.450629476×10^0,1.136243956×10^0,2.701320130×10^0
1.691351333×10^0,6.680992059×10^-3,-2.506916528×10^0,1.128193363×10^0,2.749089918×10^0
1.701300333×10^0,-2.489865024×10^-2,-2.525499564×10^0,1.009981227×10^0,2.720079056×10^0
1.711250333×10^0,-6.040637892×10^-2,-2.518428526×10^0,8.921927226×10^-1,2.672478068×10^0
1.721199333×10^0,-7.600148778×10^-2,-2.466830356×10^0,6.790685825×10^-1,2.559719198×10^0
1.731149333×10^0,-5.830116201×10^-2,-2.443801097×10^0,4.329806180×10^-1,2.482546081×10^0
1.741098333×10^0,-4.326946892×10^-2,-2.406265481×10^0,2.567560633×10^-1,2.420311858×10^0
1.751048333×10^0,-4.067078356×10^-2,-2.375632503×10^0,1.988350068×10^-1,2.384285902×10^0
1.760998333×10^0,-5.220755931×10^-2,-2.294933910×10^0,1.726636004×10^-1,2.302012164×10^0
1.770947333×10^0,-3.965373348×10^-2,-2.193653703×10^0,1.533468850×10^-1,2.199364512×10^0
1.780897333×10^0,-1.628844246×10^-2,-2.077479469×10^0,8.617158651×10^-2,2.079329651×10^0
1.790846333×10^0,2.702502675×10^-2,-1.976140789×10^0,3.632071093×10^-2,1.976659294×10^0
1.800796333×10^0,3.806124430×10^-2,-1.883082937×10^0,-1.051300138×10^-2,1.883496889×10^0
1.810745333×10^0,1.185917661×10^-1,-1.756886575×10^0,-1.059179261×10^-1,1.764067190×10^0
1.820695333×10^0,1.996621320×10^-1,-1.600765332×10^0,-2.230223067×10^-1,1.628512685×10^0
1.830644333×10^0,2.703415206×10^-1,-1.447328546×10^0,-2.648603041×10^-1,1.495993128×10^0
1.840594333×10^0,3.150036136×10^-1,-1.300935316×10^0,-1.775986505×10^-1,1.350259699×10^0
1.850543333×10^0,3.223502015×10^-1,-1.164312783×10^0,3.609851673×10^-2,1.208650906×10^0
1.860493333×10^0,3.107965054×10^-1,-1.040976879×10^0,2.370543087×10^-1,1.111945177×10^0
1.870442333×10^0,2.811479792×10^-1,-9.152927327×10^-1,4.080714794×10^-1,1.040830104×10^0
1.880392333×10^0,2.132211307×10^-1,-7.555538177×10^-1,5.961354764×10^-1,9.857496276×10^-1
1.890341333×10^0,1.674219371×10^-1,-5.869622183×10^-1,7.017338522×10^-1,9.300457784×10^-1
1.900291333×10^0,1.462554184×10^-1,-3.826546562×10^-1,6.907692996×10^-1,8.031048864×10^-1
1.910240333×10^0,1.265296537×10^-1,-1.984849048×10^-1,5.845802088×10^-1,6.301904722×10^-1
1.920190333×10^0,7.462512631×10^-2,-1.732354581×10^-2,4.951632714×10^-1,5.010545680×10^-1
1.930139333×10^0,-1.362605900×10^-2,1.410547221×10^-1,4.556140204×10^-1,4.771438354×10^-1
1.940089333×10^0,-1.146006394×10^-1,3.246876991×10^-1,4.053615873×10^-1,5.318584632×10^-1
1.950038333×10^0,-2.083676128×10^-1,5.212979865×10^-1,2.883754666×10^-1,6.311331576×10^-1
1.959988333×10^0,-3.025543799×10^-1,7.206933028×10^-1,1.854021983×10^-1,8.033131174×10^-1
1.969937333×10^0,-3.931738702×10^-1,9.074475235×10^-1,5.806153581×10^-2,9.906653532×10^-1
1.979887333×10^0,-4.129621636×10^-1,1.092963304×10^0,-1.666188951×10^-1,1.180198453×10^0
1.989837333×10^0,-3.608533492×10^-1,1.281067062×10^0,-4.936408027×10^-1,1.419517242×10^0
1.999786333×10^0,-2.815908327×10^-1,1.470034454×10^0,-8.456988797×10^-1,1.719157145×10^0
2.009736333×10^0,-2.063208316×10^-1,1.662303768×10^0,-1.066173262×10^0,1.985584934×10^0
2.019685333×10^0,-1.506406474×10^-1,1.842396256×10^0,-1.133152971×10^0,2.168214064×10^0
2.029635333×10^0,-8.018363569×10^-2,1.986803772×10^0,-1.139081902×10^0,2.291577235×10^0
2.039584333×10^0,-2.098942112×10^-2,2.080156324×10^0,-1.037840286×10^0,2.324780279×10^0
2.049534333×10^0,3.750517409×10^-2,2.156418049×10^0,-8.314397134×10^-1,2.311457860×10^0
2.059483333×10^0,9.618585695×10^-2,2.233690758×10^0,-6.053679375×10^-1,2.316267787×10^0
2.069433333×10^0,1.732450330×10^-1,2.325287976×10^0,-4.531859641×10^-1,2.375364295×10^0
2.079382333×10^0,2.683918762×10^-1,2.396215872×10^0,-3.969638161×10^-1,2.443658113×10^0
2.089332333×10^0,3.411992494×10^-1,2.462264850×10^0,-3.011561644×10^-1,2.503968881×10^0
2.099281333×10^0,3.197580943×10^-1,2.479404793×10^0,-1.287953036×10^-1,2.503254202×10^0
2.109231333×10^0,2.813453227×10^-1,2.480169024×10^0,2.541799262×10^-2,2.496205051×10^0
2.119180333×10^0,1.917457695×10^-1,2.441652246×10^0,1.697247899×10^-1,2.455043509×10^0
2.129130333×10^0,7.917378500×10^-2,2.432726471×10^0,2.867743528×10^-1,2.450850077×10^0
2.139079333×10^0,-7.403675023×10^-2,2.410469044×10^0,3.406574683×10^-1,2.435547159×10^0
2.149029333×10^0,-1.892097955×10^-1,2.388267167×10^0,2.468586275×10^-1,2.408435091×10^0
2.158978333×10^0,-2.488581194×10^-1,2.348574513×10^0,-1.825749233×10^-2,2.361792950×10^0
2.168928333×10^0,-2.875671987×10^-1,2.284663861×10^0,-3.435883851×10^-1,2.328183161×10^0
2.178877333×10^0,-3.216132696×10^-1,2.231081731×10^0,-5.936572802×10^-1,2.331006167×10^0
2.188827333×10^0,-3.597838934×10^-1,2.164802372×10^0,-8.153895450×10^-1,2.341083909×10^0
2.198776333×10^0,-3.762910217×10^-1,2.090660262×10^0,-9.484205715×10^-1,2.326361289×10^0
2.208726333×10^0,-3.820317815×10^-1,2.014648798×10^0,-1.007858688×10^0,2.284849491×10^0
2.218675333×10^0,-3.824512096×10^-1,1.886538057×10^0,-9.633088982×10^-1,2.152500592×10^0
2.228625333×10^0,-3.497023800×10^-1,1.736471606×10^0,-8.901685627×10^-1,1.982429182×10^0
2.238575333×10^0,-2.597720571×10^-1,1.584251626×10^0,-8.799685335×10^-1,1.830759229×10^0
2.248524333×10^0,-9.778993092×10^-2,1.445070936×10^0,-8.424329174×10^-1,1.675555460×10^0
2.258474333×10^0,4.292199813×10^-2,1.316253267×10^0,-7.644860244×10^-1,1.522761912×10^0
2.268423333×10^0,1.757779006×10^-1,1.163560832×10^0,-6.105813150×10^-1,1.325737991×10^0
2.278373333×10^0,2.690834191×10^-1,9.736052603×10^-1,-3.870725200×10^-1,1.081729275×10^0
2.288322333×10^0,3.297181683×10^-1,7.597386700×10^-1,-1.549841054×10^-1,8.425775870×10^-1
2.298272333×10^0,3.180499033×10^-1,5.393997967×10^-1,1.227551298×10^-1,6.381039912×10^-1
2.308221333×10^0,2.817839735×10^-1,3.195994520×10^-1,4.113503055×10^-1,5.922458031×10^-1
2.318171333×10^0,2.663963677×10^-1,1.455208254×10^-1,5.658584476×10^-1,6.421363703×10^-1
2.328120333×10^0,2.722258224×10^-1,-1.977352917×10^-2,5.837181830×10^-1,6.443793976×10^-1
2.338070333×10^0,2.765324429×10^-1,-2.270175630×10^-1,5.520881085×10^-1,6.578817868×10^-1
2.348019333×10^0,2.466448752×10^-1,-4.205878830×10^-1,4.710038920×10^-1,6.779177886×10^-1
2.357969333×10^0,2.073592605×10^-1,-6.317852193×10^-1,3.814128537×10^-1,7.665677995×10^-1
2.367918333×10^0,1.564546801×10^-1,-8.066929811×10^-1,2.717408690×10^-1,8.654910355×10^-1
2.377868333×10^0,8.239377357×10^-2,-9.665505946×10^-1,1.851741569×10^-1,9.875718982×10^-1
2.387817333×10^0,-4.298207827×10^-2,-1.131502887×10^0,1.520219059×10^-1,1.142478403×10^0
2.397767333×10^0,-1.501402354×10^-1,-1.299831946×10^0,1.429878116×10^-1,1.316263915×10^0
2.407716333×10^0,-1.895015715×10^-1,-1.456446109×10^0,8.634232521×10^-2,1.471258343×10^0
2.417666333×10^0,-2.046089130×10^-1,-1.616362780×10^0,-2.160093024×10^-2,1.629404813×10^0
2.427615333×10^0,-1.909876049×10^-1,-1.741533540×10^0,-1.322078848×10^-1,1.756955965×10^0
2.437565333×10^0,-1.568516695×10^-1,-1.842344801×10^0,-2.045787267×10^-1,1.860292791×10^0
2.447515333×10^0,-1.116285728×10^-1,-1.937312939×10^0,-2.559513402×10^-1,1.957333249×10^0
2.457464333×10^0,-5.305697702×10^-2,-2.022619137×10^0,-2.798174818×10^-1,2.042572163×10^0
2.467414333×10^0,-1.933162585×10^-3,-2.132797637×10^0,-2.115336974×10^-1,2.143262934×10^0
2.477363333×10^0,1.220778029×10^-2,-2.236182842×10^0,-5.047068045×10^-2,2.236785645×10^0
2.487313333×10^0,2.963895142×10^-2,-2.334821861×10^0,1.447301356×10^-1,2.339491057×10^0
2.497262333×10^0,6.966730870×10^-2,-2.383437366×10^0,3.111196737×10^-1,2.404666851×10^0
2.507212333×10^0,1.228149907×10^-1,-2.425968259×10^0,4.418635619×10^-1,2.468936800×10^0
